# ----------------------------------------
# ユーザー獲得: ユーザーの最初の参照元 / メディア
# アカウント: www.wingarc.com
# プロパティ: https://www.wingarc.com - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260401
# 終了日: 20260430
ユーザーの最初の参照元 / メディア,月,総ユーザー数,新規ユーザー数,リピーター数,アクティブ ユーザーあたりの平均エンゲージメント時間,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,イベント数,キーイベント,ユーザー キーイベント率
talk.worksmobile.com / referral,04,3,2,2,30.333333333333332,0.6666666666666666,14,0,0
tocaro.im / referral,04,3,2,3,203.66666666666666,2.6666666666666665,60,0,0
uno1952.dn-cloud.com / referral,04,3,3,1,346.6666666666667,1.3333333333333333,63,0,0
url477.commmune.jp / referral,04,3,0,3,1797,15,459,0,0
us.search.yahoo.com / referral,04,3,2,2,332,0.6666666666666666,52,0,0
xtech / external,04,3,1,3,99.66666666666667,2,33,0,0
yellowfin.co.jp / referral,04,3,3,3,338.6666666666667,1.6666666666666667,124,14,0.6666666666666666
123.0.10.207 / referral,04,2,2,1,25,0.5,12,0,0
172.29.77.15:44090 / referral,04,2,2,0,17.5,0.5,9,0,0
3crex.transprint.spa-cloud.com / referral,04,2,2,1,1.5,0,9,0,0
PRTIMES / (not set),04,2,2,0,0,0,6,0,0
activemail.r3bunri.local / referral,04,2,2,1,60.5,1.5,19,0,0
ads.qa.svfcloud.com / referral,04,2,1,2,96,1.5,33,0,0
